Date,Stars,Sentiment_rating,Details,Text,Remark
2-07W,4-stars or above,Numerical,賠率好,Great game so far wonderful payouts,
1-31W,3-stars or below,Technician Issues,加載問題,Sucks do not download,
1-31W,3-stars or below,Advertising,廣告,Too many ads,
1-31W,4-stars or above,Positive,Positive,Fun game,
1-31W,4-stars or above,Positive,Positive,Godd,
1-31W,4-stars or above,Positive,Positive,Great casino fun games. NOW SHOW ME THE MONEY HONEY,
1-31W,4-stars or above,Positive,Positive,Cool ,
1-31W,4-stars or above,Positive,Positive,I only been playing for a couple weeks I like it.,
1-31W,4-stars or above,Positive,Positive,Very excellent games friends I congratulate you in advance.,
1-31W,4-stars or above,Positive,Positive,Fun!,
1-31W,4-stars or above,Positive,Positive,Love,
1-31W,4-stars or above,Positive,Positive,Among the best on the net,
1-31W,4-stars or above,Positive,Positive,Slot,
1-31W,4-stars or above,Positive,Positive,Fun,
1-31W,4-stars or above,Positive,Positive,Good games.,
1-31W,4-stars or above,Positive,Positive,Awsome,
1-31W,4-stars or above,Positive,Positive,So far so good,
1-31W,4-stars or above,Graphic,美術好評,I love the graphics and the bonus games are fun too. Plenty of slot machines to choose from.,
1-31W,4-stars or above,Positive,Positive,"Very good game, I hope it will get better and better, more and more gameplay and types, (interesting game)",
1-31W,4-stars or above,Positive,Positive,Fun!!,
1-31W,4-stars or above,Positive,Positive,I like the game,
1-31W,4-stars or above,Positive,Positive,Just epic,
1-31W,4-stars or above,Positive,Positive,Just havin fun playin slots,
1-31W,4-stars or above,Numerical,賠率好,Good wins,
1-31W,4-stars or above,Graphic,美術好評,Graphics are the best I have seen in a long time,
1-31W,4-stars or above,Positive,Positive,Excellent,
1-31W,4-stars or above,Positive,Positive,It's cool,
1-31W,4-stars or above,Positive,Positive,Cool game,
1-31W,4-stars or above,Positive,Positive,It's fun,
1-31W,4-stars or above,Positive,Positive,Love it fun game just like the real games you play at the casino,
1-31W,4-stars or above,Positive,Positive,Good games,
1-31W,4-stars or above,Positive,Positive,So far so good,
1-31W,4-stars or above,Positive,Positive,Great game,
1-31W,4-stars or above,Positive,Positive,Great game,
1-31W,4-stars or above,Positive,Positive,So far it has been enjoyable,
1-31W,4-stars or above,Positive,Positive,Fun,
1-31W,4-stars or above,Positive,Positive,It's a fun game,
1-31W,4-stars or above,Positive,Positive,Lots of fun,
1-31W,4-stars or above,Positive,Positive,Pretty good,
1-31W,4-stars or above,Positive,Positive,Like,
1-31W,4-stars or above,Positive,Positive,best game out there,
1-31W,4-stars or above,Positive,Positive,"I absolutely love this app I'm doing very good, it hasn't dropped one time or put me to watch adds Everytime I hit cash like some others do best slot game to date that I've played thanks Hopping cash Casino Slots!!!",
1-31W,4-stars or above,Positive,Positive,I like it it don't have that many commercials so when you spend every time you don't have a commercial I like that,
1-31W,4-stars or above,Positive,Positive,Fun,
1-31W,4-stars or above,Positive,Positive,Wow just can't stop playing,
1-31W,4-stars or above,Positive,Positive,I love this game,
1-31W,4-stars or above,Positive,Positive,Very good,
1-31W,4-stars or above,Positive,Positive,Great game!!,
1-31W,4-stars or above,Positive,Positive,Interesting!!!,
1-31W,4-stars or above,Positive,Positive,OK,
1-31W,4-stars or above,Positive,Positive,Great and varied game,
1-31W,4-stars or above,Positive,Positive,Fun games,
1-31W,4-stars or above,Positive,Positive,fun!!!,
1-31W,4-stars or above,Positive,Positive,Awesome game!!,
1-31W,4-stars or above,Positive,Positive,Very fun games.,
1-31W,4-stars or above,Graphic,美術好評,ABSOLUTELY BEAUTIFUL GRAPHICS AND I ABSOLUTELY LOVE PLAYING THIS CASINO :-),
1-31W,4-stars or above,Positive,個人意見,Koolio,
1-31W,4-stars or above,Numerical,賠率好,This is the only slot game that everyone should try because it's really fun with great wins.,
1-31W,3-stars or below,Numerical,賠率差,"Good Graphics, laim payouts, small winnings. And just a few games. Time waste. Uninstall. Not recommend.",
1-31W,3-stars or below,General Questions,cashout,How do you sell chips?,
1-31W,3-stars or below,,,P.O.S. Its a fraud! If you actually want to get some cash the only app i have found is Justplay they actual paid me around 50bucks but the longer you have it the less they pay. But still vetter then this joke I wanted the 7 days andnnow it says there to many qurrants for my payment and I am 9987 in line..... As if. What a lie don't download it.,
1-31W,3-stars or below,Numerical,賠率差,Got to play maybe an hour before payouts got changed and ended up with nothin. All of a sudden my free spins and bonuses disappeared. Huh. Uninstalled,
1-31W,3-stars or below,Technician Issues,閃退或卡死,"It keeps closing out and sending me to my homescreen to where I have to reboot it if you can fix that problem it would be a great game

",
1-31W,3-stars or below,Positive,個人意見,"Play first. If it's good, I will give more stars.",
1-31W,3-stars or below,Positive,個人意見,I didn't like it but you may?!,
1-31W,3-stars or below,Numerical,賠率差,Terrible game. Absolutely do not ever bet over 20K. I just went over 800 spins without a bonus or free spins. Don't give me any bs saying it's all random. You have these set to pay out for awhile to get you hooked then stop paying and stop giving out free spins and bonuses. I'm uninstalling this garbage.,
1-31W,3-stars or below,Positive,個人意見,February 1st 2022 I'm going into the game then ill come back give my results before I public anything,
1-31W,3-stars or below,Positive,個人意見,Terrible slots,
1-31W,3-stars or below,Positive,個人意見,not a good casino,
1-31W,3-stars or below,,,"This game is fun, but it always closes and goes to home screen. No one is going to purchase anything that doesn't function properly!",
1-31W,3-stars or below,Technician Issues,閃退或卡死,"When the application crashes every few minutes, time to uninstall",
1-31W,3-stars or below,Positive,個人意見,Pathetic ,
1-31W,3-stars or below,Technician Issues,閃退或卡死,"Fun game but it's bugged, when I click to check what challenge I'm doing next the whole game starts glitching and not responding.",
1-31W,3-stars or below,Positive,個人意見,YOU SUCK.,
1-31W,3-stars or below,Technician Issues,加載問題,I don't want to run. How long I have to wait,
1-24W,3-stars or below,Technician Issues,加載問題,Can't even in joy the game cuz you can't get it to download. It takes to long so sad,
1-24W,3-stars or below,Advertising,廣告太多,"TONS of ads to watch... One every two spins! ZERO PAY!!! Regardless of how long you play this game, you won't be paid for your time and play! Delete this app if you have it and don't waste any more of your time!",
1-24W,3-stars or below,Technician Issues,閃退或卡死,Constant crashing ! No fun bere !,
1-24W,3-stars or below,Positive,個人意見,I don't really like this game I uninstall,
1-24W,3-stars or below,Numerical,賠率差,Did not pay out,
1-24W,3-stars or below,Technician Issues,加載問題,Wont let me load any games Goodbye,
1-24W,3-stars or below,Technician Issues,閃退或卡死,"I enjoy the game, but it continues to drop off an I have to reload. This has happe ed at least 12 times within 4 hours.",
1-24W,3-stars or below,Technician Issues,閃退或卡死,"I really want to play this game, but, I was can only get 2 or 3 spins in before the game shuts down. Reloaded 3 times so far. I'm going to give it 1 more try. I hope it works.",
1-24W,3-stars or below,Positive,個人意見,"Another hyped up game, but all lies.",
1-24W,3-stars or below,Numerical,賠率差,Have gained a lot at the beginning then after it is necessary to pack.,
1-24W,3-stars or below,Technician Issues,閃退或卡死,"Lots of potential but very low payouts when you increase your bets and every game we played FROZE UP, maybe they'll fix all their issues and make it so one enjoy it. I Uninstalled it, too many issues and bottom of the barrel payouts",
1-24W,3-stars or below,Positive,個人意見,Sucked,
1-24W,3-stars or below,Numerical,賠率差,They need to remame this game to Losin Cash Casino. No wins here. Move along folks.... Move along. Don't waste your time or money on these loser greedy no win games.,
1-24W,3-stars or below,Technician Issues,加載問題,"It won't load, too slow takes up too much data.",
1-24W,3-stars or below,Positive,需問詳情,First things first. The game does have great graphics and everything else but the downside to it is when you win money and there's a glitch. They'll say we're sorry for the glitch here's some coins for your trouble but it doesn't equal up to the coins that you actually won. This game would have got a lot higher score if they would have just fixed it the right way.,
1-24W,3-stars or below,Technician Issues,閃退或卡死,Does not give your points. Crash all the time.,
1-24W,4-stars or above,Positive,個人意見,go,
1-24W,4-stars or above,Positive,Positive,Great Game!,
1-24W,4-stars or above,Positive,Positive,Ok,
1-24W,4-stars or above,Positive,Positive,Job,
1-24W,4-stars or above,Positive,Positive,Ok,
1-24W,4-stars or above,Positive,Positive,Feedback,
1-24W,4-stars or above,Positive,Positive,Fun,
1-24W,4-stars or above,Positive,Positive,Awesome!!,
1-24W,4-stars or above,Positive,Positive,Great games,
1-24W,4-stars or above,Positive,Positive,Fun games keeps you entertained,
1-24W,4-stars or above,Positive,Positive,Great game,
1-24W,4-stars or above,Positive,Positive,"So far so good!
",
1-24W,4-stars or above,Graphic,美術好評,Good funny graphic only that it takes money a little fast,
1-24W,4-stars or above,Positive,Positive,Ok,
1-24W,4-stars or above,Positive,Positive,Good Game,
1-24W,4-stars or above,Positive,Positive,Very fun games.,
1-24W,4-stars or above,Positive,Positive,So far it's really fun and cute.,
1-24W,4-stars or above,Technician Issues,閃退或卡死,My game keeps shutting down an going back to home screen,
1-24W,4-stars or above,Positive,Positive,Excellent,
1-24W,4-stars or above,Numerical,賠率好,Really have fun for hours on this game and has great payouts,
1-24W,4-stars or above,Numerical,賠率好,Great payouts,
1-24W,4-stars or above,Positive,Positive,Lots of fun.,
1-24W,4-stars or above,Positive,Positive,Awesome,
1-24W,4-stars or above,Positive,Positive,Fun,
1-24W,4-stars or above,Graphic,美術好評,"Fun fun fun!!! Easy to play and great graphics nice winnings also hopefully next time I play though it's real money.
",
1-24W,4-stars or above,Positive,Positive,Nice,
1-24W,4-stars or above,Positive,Positive,It's good,
1-24W,4-stars or above,Positive,Positive,This is a magnificent casino game to play!,
1-24W,4-stars or above,Positive,Positive,Wonder I can't put it down sometime,
1-24W,4-stars or above,Positive,Positive,"Enjoyed for relaxation. Was not keen on interruption of game though relative to watching ads for points. Redundant at best!
",
1-24W,4-stars or above,Positive,Positive,Fun,
1-24W,4-stars or above,Positive,Positive,good game,
1-24W,4-stars or above,Positive,Positive,Great fun,
1-24W,4-stars or above,Positive,Positive,Seems to be a good game,
1-24W,4-stars or above,Positive,Positive,Good game,
1-24W,4-stars or above,Positive,Positive,Great,
1-24W,4-stars or above,Positive,Positive,Fun,
1-24W,4-stars or above,Positive,Positive,Great game,
1-24W,4-stars or above,Positive,Positive,"At last, i really found d most exciting & rewarding slot games in Hoppin'n Cash Casino. The winning payout is genuine realistic unlike any other slot games that allowed u to win at 1st attempt but within d next few games, all d winnings will definitely just become ZERO. HCC is really fantastic & relaxing slot game. ",
1-24W,4-stars or above,Positive,Positive,I like the way the games I put together,
1-24W,4-stars or above,Positive,Positive,Super game,
1-24W,4-stars or above,Positive,Positive,Great game,
1-24W,4-stars or above,Positive,Positive,Awesome thanks,
1-24W,4-stars or above,Graphic,美術好評,Oh my goodness this game and graphics are awesome I love it!!!,
1-24W,4-stars or above,Positive,Positive,High good,
1-24W,4-stars or above,Positive,Positive,Good game so far,
1-24W,4-stars or above,Positive,Positive,Fun,
1-24W,4-stars or above,Positive,Positive,Awesome game!!,
1-24W,4-stars or above,Positive,Positive,Good game,
1-24W,4-stars or above,Positive,Positive,I love it,
1-24W,4-stars or above,Numerical,賠率好,First time I have played these games. I love all of them so far. Payouts are very good.,
1-17W,3-stars or below,Numerical,賠率差,Poor bonus hits,
1-17W,3-stars or below,Numerical,賠率差,ALWAYS OUT OF MONEY AND NEVER WINS ANYTHING CUZ I WONT PAY MONEY!,
1-17W,4-stars or above,Graphic,美術好評,It's got Great graphics okay pays pays,
1-17W,4-stars or above,Positive,Positive,Great game join in and have some fun.,
1-17W,4-stars or above,Positive,Positive,"Just Started , But Good So Far",
1-17W,4-stars or above,Technician Issues,閃退或卡死,It's fun. Only problem mine tends to shut off during the game. Knocks me off,
1-17W,4-stars or above,Positive,Positive,Excellent game ,
1-17W,4-stars or above,Positive,Positive,This is nonstop fun! No ads!!! I got up 9 billion on 4 games. I got it for no money!,
1-17W,4-stars or above,Positive,Positive,Fun game,
1-17W,4-stars or above,Positive,Positive,"You ask me rate right as the game loaded so I gave you 5 stars and then canceled it and went back to the game so I could freshly judge it. Well the results are in and it is indeed 5 stars.. I am on level 73 so I must be enjoying it or believe me it would be gone. I don't play thinking of rating so all I can say it's fun, the different games are fun and a nice variety, sound is good payouts are really what you make them as far as how much you bet and how long you keep playing at a time:)",
1-17W,4-stars or above,Positive,Positive,Fun,
1-17W,4-stars or above,Positive,Positive,Fun,
1-17W,4-stars or above,Positive,Positive,You will be a happy that I have so happy plying the game.,
1-17W,4-stars or above,Positive,Positive,So far so good..some ads but since I'm retired and not going anywhere I can deal with them,
1-17W,4-stars or above,Positive,Positive,Love. ,
1-17W,4-stars or above,Positive,Positive,Fun,
1-17W,4-stars or above,Positive,Positive,Awesome Features,
1-17W,4-stars or above,Positive,Positive,Ok game.,
1-17W,4-stars or above,Positive,Positive,Love this game. ,
1-17W,4-stars or above,Numerical,賠率好,It's lot's of fun! Great winnings!,
1-17W,4-stars or above,Positive,Positive,Great games,
1-17W,4-stars or above,Positive,Positive,Great game,
1-17W,4-stars or above,Positive,Positive,Not too many frills just great action!! Love it!!!!,
1-17W,4-stars or above,Positive,Positive,Fantastic,
1-17W,4-stars or above,Positive,Positive,Love it,
1-17W,4-stars or above,Positive,Positive,Fun,
1-17W,4-stars or above,Positive,Positive,Giod slot game,
1-17W,4-stars or above,Positive,Positive,Love it,
1-17W,4-stars or above,Positive,Positive,Awesome !,
1-17W,4-stars or above,Positive,Positive,"This is an awesome game so far. can't complain about anything yet I'll tell my friends to play
",
1-17W,4-stars or above,Positive,Positive,Good,
1-17W,4-stars or above,Graphic,美術好評,Lots of fun and great graphics!,
1-17W,4-stars or above,Positive,Positive,Great time playing.,
1-17W,4-stars or above,Positive,Positive,It's good,
1-17W,4-stars or above,Positive,Positive,Awesome,
1-17W,4-stars or above,Numerical,賠率好,"Not a bad game, I don't bet a lot but still win. Thx",
1-17W,4-stars or above,,,Doing good. Just thinking that the daily would be higher,
1-17W,4-stars or above,Positive,Positive,Nice gives alot of coins,
1-17W,4-stars or above,Positive,Positive,Three thumbs up ,
1-17W,4-stars or above,Positive,Positive,Another one of my favorite games..thanks for this one too,
1-17W,4-stars or above,Positive,Positive,Great game,
1-17W,4-stars or above,Positive,Positive,It a good game,
1-17W,4-stars or above,Positive,Positive,Fun play,
1-17W,4-stars or above,Positive,Positive,Good,
1-17W,4-stars or above,Positive,Positive,Excellent,
1-17W,3-stars or below,Numerical,賠率好,Fun game could use more big wins,
1-17W,3-stars or below,Numerical,賠率差,"It has a lot of potential to be a good game, but we all know that if you don't bet big, you don't win big, and that's no fun. They make sure that you start losing after you bet big. I had plenty of chips until I started betting bigger. Then I started losing. Not keeping an app where I lose, so good luck",
1-17W,3-stars or below,Numerical,賠率差,"Same old, same old. No bonuses or features in the last 4 games played. The developers of these games just don't get it.",
1-17W,3-stars or below,Positive,個人意見,What a misery of bonuses this game gives. take bonds they tell him,
1-17W,3-stars or below,Positive,個人意見,It's alright. Just another slots game app.,
1-17W,3-stars or below,Technician Issues,加載問題,"I was playing the best and suddenly I couldn't enter anymore, besides everything is in English",
1-17W,3-stars or below,Technician Issues,加載問題,I can't get it started,
1-17W,3-stars or below,Technician Issues,閃退或卡死,This is one of the worst games I've played. Every time i log in i get to play maybe 3 minutes before it kicks me out of the game. So im deleting this game. Very disappointed,
1-17W,3-stars or below,Numerical,賠率差,Start out winning then nothing... UNINSTALLED,
1-17W,3-stars or below,Technician Issues,閃退或卡死,Bad takes my winnings I won 35 free games an lots of coines it takes from me shuts the game off it is ripping me off do something about this game!!!!,
1-17W,3-stars or below,General Questions,,Don't purchase anything cuz you won't get your credits and they won't respond when you email them.,
1-17W,3-stars or below,Positive,個人意見,Not free,
1-17W,3-stars or below,Technician Issues,閃退或卡死,The game you hit big jackpots but the game keeps crashing I'm in the middle of free games and it just goes back to my home screen and I loos everything don't download it pleas fix I'm unstalling it,
1-10W,3-stars or below,General Questions,cashout,"Fun so far but no cash yet
",
1-10W,3-stars or below,General Questions,cashout,"How can I play, I can get real money, I received it.. I gave it 1 star. Previously, if it was profitable for me, I would give it another 4 star.",
1-10W,3-stars or below,Advertising,廣告太多,"Lots of ads, very annoying. Can't even win a contest because ads pop up during game play. Also very annoying. Don't always receive messenger bonus and support claims it's my internet connection I live half a block away from a cell phone tower. Still no solution, excuses, excuses, and oh yeah excuses. Not very good at solving problems, but great at taking your money Still haven't won a ""Grand Jackpot"" either. I've had other apps less time, and won more. Maybe other apps aren't so bad.",
1-10W,3-stars or below,Numerical,賠率差,Money goes way to fast. You dont get big wins and if you do theybtake back within a few spins,
1-10W,3-stars or below,Numerical,賠率差,"At first the game was fun, but after not being able to get anywhere. I've been stuck in this bubble. 70.000 to around 140.000. I'm so bored that now I'm trying to get rid of my money. The same thing still happens. You keep is in, just enough to keep us playing. Either take my money, or let me win, some sizable amount. I'm out after I'm I lose the rest of my money.",
1-10W,3-stars or below,Numerical,賠率差,"It was fun when first start, after about 2 days none of the slots hits. To many ads want you to spend money, the prices are to high. I can buy one trillions coins for a lot less than paying $49.99 for a million. I want enjoying coins.",
1-10W,3-stars or below,Technician Issues,閃退或卡死,Kept kicking out.,
1-10W,3-stars or below,Technician Issues,加載問題,"Game has nice graphics, constantly pop up reconnect while your in bonus and winning !!! I won't support a game that annoys the player and takes the enjoyment out of playing",
1-10W,3-stars or below,Technician Issues,加載問題,Noob game dont waste your tym for this still loading tsssk,
1-10W,3-stars or below,Technician Issues,加載問題,"Fun game. Great win rate, lots of big wins, but, the app literally won't open, or, crashes consistently when I attempt to play.",
1-10W,3-stars or below,Technician Issues,加載問題,Would not download and my connection works fine,
1-10W,4-stars or above,Positive,Positive,Awsome game,
1-10W,4-stars or above,Positive,Positive,Love it,
1-10W,4-stars or above,Positive,Positive,So addictive and satisfying! Thanks to the developers and keep up the great work!,
1-10W,4-stars or above,Positive,需問詳情,"love this game, baby. However I am not big enough to have a phone. the shrunken games piss me off. everytime you do that. I hate it.",
1-10W,4-stars or above,Positive,Positive,Love it!!!!!!!,
1-10W,4-stars or above,Positive,Positive,Fun,
1-10W,4-stars or above,Positive,Positive,Its been good so far. I love the casino like games. Thanks,
1-10W,4-stars or above,Positive,Positive,It's a super fun and vary addicting!!,
1-10W,4-stars or above,Positive,Positive,Great game!! Let's you play for a long time.,
1-10W,4-stars or above,Positive,Positive,Good game,
1-10W,4-stars or above,Positive,Positive,Fun slots. Entertaining,
1-10W,4-stars or above,Numerical,賠率好,Fun games. Extreme payouts!,
1-10W,4-stars or above,Positive,Positive,Good,
1-10W,4-stars or above,Positive,Positive,An awesome game today,
1-10W,4-stars or above,Positive,Positive,Seems ok so far,
1-10W,4-stars or above,Positive,Positive,Great game,
1-10W,4-stars or above,Positive,個人意見,Hoppin casinos slot Wow sounds like it's on like donkey Kong that's the kindaast game I played neither seeming less films like I. Enjoying to survey be ause I'm expressing my experience with casino slot with highly intensions of Integrity makes survey much more enjoyable to read always a dark side in every aspects wich applies to implementation elaborate concepts of survey are accordingly; example q... Lppa got carried away,
1-10W,4-stars or above,General Questions,cashout,"I like the game we'll see if it actually pays it to my cash app for my PayPal that's another story let you know.
",
1-10W,4-stars or above,Positive,Positive,Great slots! I'm at a trillion and still hot!,
1-10W,4-stars or above,Positive,Positive,Fun. ,
1-10W,4-stars or above,Positive,Positive,if this is okay,
1-10W,4-stars or above,Numerical,賠率好,Lets you win alot more than the other games,
1-10W,4-stars or above,Positive,Positive,Great,
1-10W,4-stars or above,Graphic,美術好評,"Good graphics, very decent earnings, not a lot of ads.",
1-10W,4-stars or above,Positive,Positive,Addicting,
1-10W,4-stars or above,Positive,Positive,This is great games. Once I start playing I can't put it down.,
1-10W,4-stars or above,Graphic,美術好評,Constant pay outs and amazing grafics thx,
1-10W,4-stars or above,Positive,Positive,Love the game.,
1-10W,4-stars or above,Positive,需問詳情,Best game to play if you can get it to download,
1-10W,4-stars or above,Positive,Positive,Love the games,
1-10W,4-stars or above,Positive,Positive,Lotsa freebeez!,
1-10W,4-stars or above,Positive,Positive,I have really enjoyed playing your game. Can't wait to get back to it ,
1-10W,4-stars or above,Positive,Positive,Fun to play,
1-10W,4-stars or above,Technician Issues,遊戲反應慢/卡頓,If it wasn't lagging it would be great,
1-3W,3-stars or below,Numerical,賠率差,BUYER BEWARE!! WORST PLACE TO PUT YOUR MONEY!!DO NOT PLAY!! NO GAME SHOULD SPIN 20-30 TIMES WITHOUT HITTING ANYTHING!! If I could give LESS than 1 star I would. The worst play back!! They do NOT respond except for auto response and there is NEVER a solution just an excuse!! The more you play the LESS you get in play back!! HORRIBLE HORRIBLE HORRIBLE!! PURCHASED 3BILLION. RECEIVED IN PLAYBACK 200 MILLION PLAYING 100 MILLION EACH SPIN!!! A HUGE RIPOFF AND THEY DONT CARE!!!,
1-3W,3-stars or below,Numerical,賠率差,"It will only let you win so much money then it hardly let's you win specially when you get higher levels and the ad's are horrible an ad will start playing while you are spinning and if you hit it the ad will take you to the app store I deleted this app all they want you to do is buy coins and watch ad's
",
1-3W,4-stars or above,General Questions,cashout,When do u get ur money,
1-3W,4-stars or above,Positive,Positive,good,
1-3W,4-stars or above,Positive,Positive,Always fun and happy winners circle,
1-3W,4-stars or above,Positive,Positive,Really great app,
1-3W,4-stars or above,Positive,Positive,This the best one so far. Lots of fun.,
1-3W,4-stars or above,Positive,Positive,So far So good. Will update once I have played longer,
1-3W,4-stars or above,Positive,Positive,Great game,
1-3W,4-stars or above,Numerical,賠率好,Great games and nice payouts,
1-3W,4-stars or above,Positive,Positive,Cool Game,
1-3W,4-stars or above,Positive,Positive,Nice,
1-3W,4-stars or above,Positive,Positive,Cool slots. Fast too if u like to speed play,
1-3W,4-stars or above,Positive,Positive,Keeps me entertained. I love it!,
1-3W,4-stars or above,Positive,Positive,So far great,
1-3W,4-stars or above,Graphic,美術好評,"Very fun graphics, frequent bonuses",
1-3W,4-stars or above,Positive,Positive,Enjoy playing,
1-3W,4-stars or above,Positive,Positive,Good games,
1-3W,4-stars or above,Positive,Positive,Good funky game,
1-3W,4-stars or above,Positive,Positive,Simple fun,
1-3W,4-stars or above,Positive,Positive,Nice,
1-3W,4-stars or above,Positive,Positive,Love this,
1-3W,4-stars or above,Positive,Positive,Good game,
1-3W,4-stars or above,Positive,Positive,Great,
1-3W,4-stars or above,Positive,Positive,Fun times fun times,
1-3W,4-stars or above,Positive,Positive,Nice to pass time,
1-3W,4-stars or above,Positive,Positive,Super,
1-3W,4-stars or above,Graphic,Positive,Love the graphics,
1-3W,4-stars or above,Positive,Positive,Good application if it were real I would be a millionaire Q,
1-3W,4-stars or above,Positive,Positive,good,
1-3W,4-stars or above,Positive,Positive,Excellent,
1-3W,4-stars or above,Positive,Positive,my,
1-3W,4-stars or above,Positive,Positive,I love it,
1-3W,4-stars or above,Positive,Positive,Love this game!,
1-3W,4-stars or above,Positive,Positive,Brilliant,
