Date,Stars,Sentiment_rating,Text
1-17W,3-stars or below,Numerical,Start out winning then nothing... UNINSTALLED
1-17W,3-stars or below,Technician Issues,Bad takes my winnings I won 35 free games an lots of coines it takes from me shuts the game off it is ripping me off do something about this game!!!!
1-17W,3-stars or below,General Questions,Don't purchase anything cuz you won't get your credits and they won't respond when you email them.
1-17W,3-stars or below,Positive,Not free
1-17W,3-stars or below,Technician Issues,The game you hit big jackpots but the game keeps crashing I'm in the middle of free games and it just goes back to my home screen and I loos everything don't download it pleas fix I'm unstalling it
1-10W,3-stars or below,General Questions,"Fun so far but no cash yet
"
1-10W,3-stars or below,General Questions,"How can I play, I can get real money, I received it.. I gave it 1 star. Previously, if it was profitable for me, I would give it another 4 star."
1-10W,3-stars or below,Advertising,"Lots of ads, very annoying. Can't even win a contest because ads pop up during game play. Also very annoying. Don't always receive messenger bonus and support claims it's my internet connection I live half a block away from a cell phone tower. Still no solution, excuses, excuses, and oh yeah excuses. Not very good at solving problems, but great at taking your money Still haven't won a ""Grand Jackpot"" either. I've had other apps less time, and won more. Maybe other apps aren't so bad."
1-10W,3-stars or below,Numerical,Money goes way to fast. You dont get big wins and if you do theybtake back within a few spins
1-10W,3-stars or below,Numerical,"At first the game was fun, but after not being able to get anywhere. I've been stuck in this bubble. 70.000 to around 140.000. I'm so bored that now I'm trying to get rid of my money. The same thing still happens. You keep is in, just enough to keep us playing. Either take my money, or let me win, some sizable amount. I'm out after I'm I lose the rest of my money."
1-10W,3-stars or below,Numerical,"It was fun when first start, after about 2 days none of the slots hits. To many ads want you to spend money, the prices are to high. I can buy one trillions coins for a lot less than paying $49.99 for a million. I want enjoying coins."
1-10W,3-stars or below,Technician Issues,Kept kicking out.
1-10W,3-stars or below,Technician Issues,"Game has nice graphics, constantly pop up reconnect while your in bonus and winning !!! I won't support a game that annoys the player and takes the enjoyment out of playing"
1-10W,3-stars or below,Technician Issues,Noob game dont waste your tym for this still loading tsssk
1-10W,3-stars or below,Technician Issues,"Fun game. Great win rate, lots of big wins, but, the app literally won't open, or, crashes consistently when I attempt to play."
1-10W,3-stars or below,Technician Issues,Would not download and my connection works fine
1-10W,4-stars or above,Positive,Awsome game
1-10W,4-stars or above,Positive,Love it
1-10W,4-stars or above,Positive,So addictive and satisfying! Thanks to the developers and keep up the great work!
1-10W,4-stars or above,Positive,"love this game, baby. However I am not big enough to have a phone. the shrunken games piss me off. everytime you do that. I hate it."
1-10W,4-stars or above,Positive,Love it!!!!!!!
1-10W,4-stars or above,Positive,Fun
1-10W,4-stars or above,Positive,Its been good so far. I love the casino like games. Thanks
1-10W,4-stars or above,Positive,It's a super fun and vary addicting!!
1-10W,4-stars or above,Positive,Great game!! Let's you play for a long time.
1-10W,4-stars or above,Positive,Good game
1-10W,4-stars or above,Positive,Fun slots. Entertaining
1-10W,4-stars or above,Numerical,Fun games. Extreme payouts!
1-10W,4-stars or above,Positive,Good
1-10W,4-stars or above,Positive,An awesome game today
1-10W,4-stars or above,Positive,Seems ok so far
1-10W,4-stars or above,Positive,Great game
1-10W,4-stars or above,Positive,Hoppin casinos slot Wow sounds like it's on like donkey Kong that's the kindaast game I played neither seeming less films like I. Enjoying to survey be ause I'm expressing my experience with casino slot with highly intensions of Integrity makes survey much more enjoyable to read always a dark side in every aspects wich applies to implementation elaborate concepts of survey are accordingly; example q... Lppa got carried away
1-10W,4-stars or above,General Questions,"I like the game we'll see if it actually pays it to my cash app for my PayPal that's another story let you know.
"
1-10W,4-stars or above,Positive,Great slots! I'm at a trillion and still hot!
1-10W,4-stars or above,Positive,Fun.
1-10W,4-stars or above,Positive,if this is okay
1-10W,4-stars or above,Numerical,Lets you win alot more than the other games
1-10W,4-stars or above,Positive,Great
1-10W,4-stars or above,Graphic,"Good graphics, very decent earnings, not a lot of ads."
1-10W,4-stars or above,Positive,Addicting
1-10W,4-stars or above,Positive,This is great games. Once I start playing I can't put it down.
1-10W,4-stars or above,Graphic,Constant pay outs and amazing grafics thx
1-10W,4-stars or above,Positive,Love the game.
1-10W,4-stars or above,Positive,Best game to play if you can get it to download
1-10W,4-stars or above,Positive,Love the games
1-10W,4-stars or above,Positive,Lotsa freebeez!
1-10W,4-stars or above,Positive,I have really enjoyed playing your game. Can't wait to get back to it
1-10W,4-stars or above,Positive,Fun to play
1-10W,4-stars or above,Technician Issues,If it wasn't lagging it would be great
1-3W,3-stars or below,Numerical,BUYER BEWARE!! WORST PLACE TO PUT YOUR MONEY!!DO NOT PLAY!! NO GAME SHOULD SPIN 20-30 TIMES WITHOUT HITTING ANYTHING!! If I could give LESS than 1 star I would. The worst play back!! They do NOT respond except for auto response and there is NEVER a solution just an excuse!! The more you play the LESS you get in play back!! HORRIBLE HORRIBLE HORRIBLE!! PURCHASED 3BILLION. RECEIVED IN PLAYBACK 200 MILLION PLAYING 100 MILLION EACH SPIN!!! A HUGE RIPOFF AND THEY DONT CARE!!!
1-3W,3-stars or below,Numerical,"It will only let you win so much money then it hardly let's you win specially when you get higher levels and the ad's are horrible an ad will start playing while you are spinning and if you hit it the ad will take you to the app store I deleted this app all they want you to do is buy coins and watch ad's
"
1-3W,4-stars or above,General Questions,When do u get ur money
1-3W,4-stars or above,Positive,good
1-3W,4-stars or above,Positive,Always fun and happy winners circle
1-3W,4-stars or above,Positive,Really great app
1-3W,4-stars or above,Positive,This the best one so far. Lots of fun.
1-3W,4-stars or above,Positive,So far So good. Will update once I have played longer
1-3W,4-stars or above,Positive,Great game
1-3W,4-stars or above,Numerical,Great games and nice payouts
1-3W,4-stars or above,Positive,Cool Game
1-3W,4-stars or above,Positive,Nice
1-3W,4-stars or above,Positive,Cool slots. Fast too if u like to speed play
1-3W,4-stars or above,Positive,Keeps me entertained. I love it!
1-3W,4-stars or above,Positive,So far great
1-3W,4-stars or above,Graphic,"Very fun graphics, frequent bonuses"
1-3W,4-stars or above,Positive,Enjoy playing
1-3W,4-stars or above,Positive,Good games
1-3W,4-stars or above,Positive,Good funky game
1-3W,4-stars or above,Positive,Simple fun
1-3W,4-stars or above,Positive,Nice
1-3W,4-stars or above,Positive,Love this
1-3W,4-stars or above,Positive,Good game
1-3W,4-stars or above,Positive,Great
1-3W,4-stars or above,Positive,Fun times fun times
1-3W,4-stars or above,Positive,Nice to pass time
1-3W,4-stars or above,Positive,Super
1-3W,4-stars or above,Graphic,Love the graphics
1-3W,4-stars or above,Positive,Good application if it were real I would be a millionaire Q
1-3W,4-stars or above,Positive,good
1-3W,4-stars or above,Positive,Excellent
1-3W,4-stars or above,Positive,my
1-3W,4-stars or above,Positive,I love it
1-3W,4-stars or above,Positive,Love this game!
1-3W,4-stars or above,Positive,Brilliant
1-3W,4-stars or above,Positive,Very fun....best yet
1-3W,4-stars or above,Positive,So far so good!
1-3W,4-stars or above,Positive,I have found fun and winning slots. I recommend these slots to all my friends.
1-3W,4-stars or above,Positive,"Fun,winning!!!"
1-3W,4-stars or above,Graphic,"Great graphics & fun games with nice payouts , let's hope it continues, so many apps start out great & then do nothing but take take take, I really like the games on this app so I really hope it stays true to what it is now !"
1-3W,4-stars or above,Positive,Enjoy
1-3W,4-stars or above,Positive,Good game
1-3W,4-stars or above,Positive,I enjoy playing the game!
1-3W,4-stars or above,Positive,So far so great! Love the games and graphics.
1-3W,4-stars or above,Positive,Great
1-3W,4-stars or above,Positive,Ggg
1-3W,4-stars or above,Positive,Yahoo fun
1-3W,3-stars or below,Positive,Noob Noob noob
1-3W,3-stars or below,Numerical,Dont pay
1-3W,3-stars or below,Technician Issues,Keep freezing
1-3W,3-stars or below,Technician Issues,Runs slow and keep having to initialize
1-3W,3-stars or below,Numerical,I thought it was beautiful and relaxing got up to 300 million in 3 hours our purchased coins and lost all but 79 million in 20 minutes no bonuses and raise bet and I'm pissed don't bother they want money
1-3W,3-stars or below,Numerical,When you bet high you lose everything qas a nice game otherwise
1-3W,3-stars or below,Numerical,You win the first hour of play than you lose than they ask you to buy ...good luck with that .I am gone.
1-3W,3-stars or below,Positive,Beggar
1-3W,3-stars or below,Technician Issues,RIDICULOUS!! CONSTANTLY kicks you off! There's absolutely NOTHING wrong with my connection!! You have all these options to buy things... I'll save my money until you figure out what's wrong on your end! Please fix the problem/glitches!!
1-3W,3-stars or below,Numerical,Boring what's the point of playing if you can't win anything
1-3W,3-stars or below,Technician Issues,Keeps freezing sucks
1-3W,3-stars or below,Numerical,"No jackpots, no wins, no nothing. Reels are rigged. Bonuses don't exist. 2 billion gone in no time. Don't download. You've been warned."
1-3W,3-stars or below,Technician Issues,"Ok 3 stars, too many ads right in the middle of a game, internet sucks and game lost. When logging back in 5 ads right in a row to look at, finishing my coins out and uninstalling"
1-3W,3-stars or below,Technician Issues,"Good game, keeps crashing."
12-27W,4-stars or above,Positive,Fun
12-27W,4-stars or above,Numerical,Big easy wins
12-27W,4-stars or above,Positive,Summer
12-27W,4-stars or above,Positive,Fun game so far
12-27W,4-stars or above,Positive,One of the most funnest games I've ever played thank you
12-27W,4-stars or above,Positive,Love it
12-27W,4-stars or above,Positive,So far so good
12-27W,4-stars or above,Positive,"Perfect
"
12-27W,4-stars or above,Positive,Love it.
12-27W,4-stars or above,Positive,Love this game.... There are ads but that's how they make their money
12-27W,4-stars or above,Numerical,Is fun good pay outs
12-27W,4-stars or above,Positive,From now on
12-27W,4-stars or above,Positive,Ok
12-27W,4-stars or above,Positive,I haven't been playing very long. But so far I have really enjoyed the game. Its pretty awesome game
12-27W,4-stars or above,Positive,"Best slots game out
"
12-27W,4-stars or above,Graphic,"Good wins, fun games. Graphics are really good."
12-27W,4-stars or above,Positive,I'll give it four and a half Stars
12-27W,4-stars or above,Numerical,VERY WELL MADE GAME. THE PAY OUTS ARE VERY CONSISTENT AND THE GAMES ARE REALLY REALLY FUN!!!!! P.S. Do yourself a favor and download this game now. Lol.
12-27W,4-stars or above,Positive,Super game
12-27W,4-stars or above,Positive,So far so good. Good wins good graphics. No issue
12-27W,4-stars or above,Positive,Real fun game
12-27W,4-stars or above,Positive,"So far this is my favorite slot game to play!!!

"
12-27W,4-stars or above,Positive,Love it all
12-27W,4-stars or above,Positive,Great
12-27W,4-stars or above,Positive,Great fun
12-27W,4-stars or above,Positive,It's fun
12-27W,4-stars or above,Positive,Tooop
12-27W,4-stars or above,Positive,Great game
12-27W,4-stars or above,Positive,Fffbun
12-27W,4-stars or above,Numerical,Fun game and lots of good pay outs
12-27W,4-stars or above,Positive,Good game
12-27W,4-stars or above,Positive,And the prize is won by a victor
